英雄,胜率,使用频率
敌法师,46.529921147,7445119
斧王,54.6194378649,7491615
祸乱之源,43.9612932801,1204132
嗜血狂魔,51.6058053867,6634459
水晶室女,54.5953099712,5501544
卓尔游侠,49.1522317521,6029478
撼地者,49.0316252632,3990449
主宰,49.5253552047,8281140
米拉娜,49.9369440705,7487797
变体精灵,45.8122366272,3037994
影魔,49.6996477184,6588763
幻影长矛手,47.0333347263,2775844
帕克,41.8120112927,1771766
帕吉,53.6708156658,14896444
剃刀,44.4047326931,1679044
沙王,48.2005832077,3716343
风暴之灵,47.9861653413,4391001
斯温,50.2795604544,4794133
小小,44.3299193075,2853425
复仇之魂,52.2684047462,3005923
风行者,44.7971433695,4723607
宙斯,54.494749182,3716659
昆卡,43.8051575293,2872228
莉娜,43.315585865,3173786
莱恩,48.4051080158,4714081
暗影萨满,50.9935504046,2596597
斯拉达,53.0437064618,5471914
潮汐猎人,52.1549290263,2146428
巫医,51.3091090383,2761993
巫妖,53.0525115718,2278812
力丸,54.7070529496,7818034
谜团,53.0183602493,2360371
修补匠,47.630548134,4406842
狙击手,51.0541810474,12554390
瘟疫法师,57.4129033244,5755788
术士,53.0491659697,1822236
兽王,44.9927923801,742270
痛苦女王,41.7467830771,3512285
剧毒术士,51.0184184138,2449288
虚空假面,46.842960845,4173214
冥魂大帝,56.6040293537,5731887
死亡先知,43.3929787005,1308903
幻影刺客,53.4407469554,13562898
帕格纳,46.0310119886,1427190
圣堂刺客,46.9744078025,2659248
冥界亚龙,49.7574246102,4070281
露娜,54.7642435541,6464468
龙骑士,50.1046936098,2655845
戴泽,50.8593291345,2306334
发条技师,49.5023186155,2052518
拉席克,44.3985219887,931522
先知,41.811825621,2050683
噬魂鬼,48.9027641367,4676433
黑暗贤者,49.900776164,1361568
克林克兹,45.4582469995,2875949
全能骑士,55.4305462688,3486141
魅惑魔女,41.6282515437,1212847
哈斯卡,44.343064886,3389901
暗夜魔王,49.6684177966,1972060
育母蜘蛛,40.0795996031,917090
赏金猎人,46.636671075,4917167
编织者,52.6293514453,6088954
杰奇洛,53.8381447401,2191736
蝙蝠骑士,43.7539851016,1162141
陈,42.1992935017,393490
幽鬼,56.7172753656,3336844
远古冰魄,49.9156910243,1632685
末日使者,43.0183017578,1243050
熊战士,52.9727030602,4241611
裂魂人,53.4715212348,5908332
矮人直升机,44.1367306183,1415601
炼金术士,45.8934969414,2978337
祈求者,45.9330524617,8261663
沉默术士,53.5414162821,3797492
殁境神蚀者,46.8136151864,3108617
狼人,52.4313743853,1409532
酒仙,46.5060768042,731470
暗影恶魔,47.1384391139,1465424
德鲁伊,44.1768206043,1143645
混沌骑士,54.0314244329,2767719
米波,44.4476764426,1938945
树精卫士,54.7587110267,3239974
食人魔魔法师,53.2071989116,4828341
不朽尸王,50.9994516666,1710638
拉比克,45.2198851297,4537119
干扰者,50.2970928034,2184166
司夜刺客,49.1982945845,3485133
娜迦海妖,46.2820617752,1014097
光之守卫,50.1815670448,1711489
艾欧,37.8167712382,658401
维萨吉,47.1154388266,674002
斯拉克,51.0034562766,10686066
美杜莎,50.9540448233,2539975
巨魔战将,51.5160716799,3204301
半人马战行者,56.6994987279,2900620
马格纳斯,46.8609333488,2688984
伐木机,46.4774191801,4726932
钢背兽,50.0892787002,3577001
巨牙海民,42.338736325,1785554
天怒法师,47.5289120329,2469560
亚巴顿,56.688658394,1688059
上古巨神,52.331975107,943878
军团指挥官,48.2099179036,10338213
工程师,50.8695605661,1963003
灰烬之灵,47.2329773352,4053111
大地之灵,41.6227533481,1032147
孽主,54.6410005172,1850323
恐怖利刃,49.4727009599,1660443
凤凰,50.5487318878,1370068
神谕者,41.1100078268,856030
寒冬飞龙,46.4408398799,1287565
天穹守望者,39.7227481299,733124
