英雄,胜率,使用频率
敌法师,47.2681237201,7585446
斧王,52.4525612859,8143507
祸乱之源,45.7161615482,1798819
嗜血狂魔,50.3598859875,6964150
水晶室女,55.136239847,4818671
卓尔游侠,50.4812027479,7645426
撼地者,49.8882783186,4282517
主宰,50.0196643341,9794382
米拉娜,51.8514043499,8003276
变体精灵,47.5715047086,4141021
影魔,47.7331102929,4601856
幻影长矛手,45.4227165031,2614258
帕克,44.0627486526,1941715
帕吉,52.9086555399,14405745
剃刀,45.3770386408,2513562
沙王,49.5237835561,4731147
风暴之灵,49.2557485732,5154105
斯温,54.5294687565,7496431
小小,45.0018469261,3235105
复仇之魂,52.1820775965,2921963
风行者,45.1714431372,4641014
宙斯,54.3642865573,4296063
昆卡,47.416564301,4658138
莉娜,44.3203775542,3179199
莱恩,47.7796163951,5200768
暗影萨满,52.6545267849,3046268
斯拉达,51.3341106014,4732816
潮汐猎人,50.3938832817,2459358
巫医,49.9026176864,3050862
巫妖,54.6230239295,2489853
力丸,54.2015297095,8121542
谜团,51.8547302229,2027896
修补匠,47.541722265,4889236
狙击手,51.7791139263,10230233
瘟疫法师,54.679366858,4612109
术士,55.5877077107,2021983
兽王,46.4067265725,791131
痛苦女王,42.1707083116,2376920
剧毒术士,51.4933927919,2381490
虚空假面,47.0950055947,5150423
冥魂大帝,55.8933089984,5827558
死亡先知,46.8558597681,1835303
幻影刺客,52.1167918362,14369977
帕格纳,46.4720175176,1624427
圣堂刺客,45.3364603455,2294416
冥界亚龙,48.8618022321,3123227
露娜,54.7522023992,4492033
龙骑士,49.3672559395,2276987
戴泽,51.7248160723,2517022
发条技师,50.6164181689,1940728
拉席克,45.6270770858,831995
先知,41.0688563191,2998345
噬魂鬼,49.0650503841,5011500
黑暗贤者,49.5177266021,1325804
克林克兹,45.6954175655,3365460
全能骑士,59.7883776726,4526460
魅惑魔女,39.9730851948,1261016
哈斯卡,45.976240417,4352770
暗夜魔王,49.9264797828,2023253
育母蜘蛛,39.5396251233,912300
赏金猎人,45.8406665257,5262033
编织者,49.1699867929,3631388
杰奇洛,53.2129348458,1922837
蝙蝠骑士,44.9247056736,1228313
陈,41.9242603174,377662
幽鬼,54.99494998,3654441
远古冰魄,50.3810913615,2090050
末日使者,43.4714673349,1324149
熊战士,54.3154219685,5038812
裂魂人,52.5056439011,5399191
矮人直升机,44.5537142002,1504025
炼金术士,49.0000659172,4581502
祈求者,46.8276176316,9693677
沉默术士,53.692609324,3701407
殁境神蚀者,49.6189255431,3968647
狼人,46.2737819202,1052743
酒仙,47.5082604699,764787
暗影恶魔,45.7907640082,1377459
德鲁伊,39.7878288687,731485
混沌骑士,50.2278236723,2203239
米波,47.6086822167,2054913
树精卫士,53.5877904868,1408541
食人魔魔法师,54.3980081991,4255847
不朽尸王,50.7570905973,1644255
拉比克,46.1511006348,3709541
干扰者,51.020889164,2257199
司夜刺客,50.0350219112,3552062
娜迦海妖,46.121567394,1052371
光之守卫,50.1885128806,1943899
艾欧,37.2713614576,628995
维萨吉,44.5669019386,451676
斯拉克,51.0729462618,9940386
美杜莎,51.7218348958,2924177
巨魔战将,49.5148033176,3164696
半人马战行者,55.2991820789,2600373
马格纳斯,47.0604944154,2749510
伐木机,48.931975277,4949230
钢背兽,48.600050711,3640239
巨牙海民,42.0732798035,1598858
天怒法师,46.6940731322,2087342
亚巴顿,55.9859813704,2335749
上古巨神,54.1762798411,1199309
军团指挥官,49.0694356337,10630968
工程师,46.1613306436,1668065
灰烬之灵,41.696502081,2330843
大地之灵,42.0868704137,834139
孽主,54.1205189639,1769680
恐怖利刃,49.0366360536,1555435
凤凰,51.2917292957,1468303
神谕者,42.4614196891,1085463
寒冬飞龙,46.1104072754,1323699
天穹守望者,42.9444757435,917671
