英雄,胜率,使用频率
敌法师,46.917376844,7161709
斧王,54.6959529444,7168545
祸乱之源,43.8942417431,889349
嗜血狂魔,50.8786203806,6051988
水晶室女,54.4613757525,4807071
卓尔游侠,49.5924614325,5217543
撼地者,49.2217615318,3431082
主宰,50.0442113988,7697110
米拉娜,49.3325767691,6347996
变体精灵,45.5116753163,2380064
影魔,50.1700042429,6743067
幻影长矛手,46.7326591214,2463716
帕克,42.1011516034,1515626
帕吉,53.4990043405,14215201
剃刀,44.252041849,1241032
沙王,48.3002675567,3277810
风暴之灵,47.6213583021,3425085
斯温,50.2386583012,4144000
小小,43.9958126123,2354690
复仇之魂,52.4887395444,2893533
风行者,44.6642656548,4132702
宙斯,55.0576345858,3330292
昆卡,43.8870816289,2256639
莉娜,43.390147114,2909036
莱恩,48.2528878999,4306936
暗影萨满,50.4640220747,2181685
斯拉达,52.3595180294,5235921
潮汐猎人,51.4263642068,2027112
巫医,51.2149008446,2791627
巫妖,52.524186307,2131578
力丸,55.0445273926,6961782
谜团,53.13261763,2095468
修补匠,48.0807361937,4105767
狙击手,51.0702558741,10471281
瘟疫法师,56.9170633629,5560510
术士,52.5668578903,1480117
兽王,45.0672229311,581498
痛苦女王,41.6169233612,3230753
剧毒术士,51.199367739,1887828
虚空假面,47.6250521839,3394243
冥魂大帝,56.6133204533,5308468
死亡先知,42.914845824,1224250
幻影刺客,53.5241535611,12212961
帕格纳,45.3990302549,1278274
圣堂刺客,46.8050924113,2444343
冥界亚龙,49.2082638101,3438898
露娜,55.1636195154,6371306
龙骑士,49.7060107421,2146507
戴泽,50.7084803506,2073452
发条技师,49.2430493444,1790011
拉席克,44.3908463833,901152
先知,41.9756224268,1880663
噬魂鬼,49.0116071534,4473879
黑暗贤者,49.8776362057,1290823
克林克兹,45.0772491278,2860809
全能骑士,54.9409328253,2765834
魅惑魔女,41.6562226471,1047649
哈斯卡,43.8470823513,2800200
暗夜魔王,49.3603139146,1526530
育母蜘蛛,39.3318975417,761949
赏金猎人,46.056141484,4465183
编织者,52.6748040326,6485391
杰奇洛,53.4427382724,1882121
蝙蝠骑士,43.0496246612,930626
陈,41.7841644996,377241
幽鬼,56.7134636835,2981814
远古冰魄,49.7100761922,1362082
末日使者,42.6739737102,1207237
熊战士,52.5829551569,3573949
裂魂人,53.4992826799,4953158
矮人直升机,44.2283598726,1099878
炼金术士,46.1544187119,2324252
祈求者,46.3244232249,8676475
沉默术士,53.1069207222,3839686
殁境神蚀者,47.491865062,2634009
狼人,51.6487104759,1065742
酒仙,46.6744840747,636187
暗影恶魔,47.6964683592,1511592
德鲁伊,45.5846114581,1818028
混沌骑士,53.8437082066,2513107
米波,44.1083002445,1871981
树精卫士,54.5833863036,2768848
食人魔魔法师,52.6649010598,4450972
不朽尸王,51.1958974046,1443184
拉比克,45.4711177697,4215135
干扰者,50.274641154,2184851
司夜刺客,48.7161376576,3236523
娜迦海妖,45.6278432809,939056
光之守卫,49.7747697444,1567063
艾欧,36.4933084066,546133
维萨吉,44.3961078574,562261
斯拉克,50.0559089206,9658566
美杜莎,50.6549356518,2269994
巨魔战将,51.7685265965,3449001
半人马战行者,56.6122231391,2697474
马格纳斯,46.8493764826,2636494
伐木机,46.3756662422,3359514
钢背兽,49.6273225949,3172583
巨牙海民,42.3886859562,1395646
天怒法师,47.272757991,2249177
亚巴顿,56.7574285569,1653484
上古巨神,51.6468885549,932091
军团指挥官,48.4305253409,9089602
工程师,52.6679252363,1897392
灰烬之灵,48.8356067316,4720613
大地之灵,41.5939219849,1072587
孽主,55.1045394836,1691514
恐怖利刃,49.6068055572,1474207
凤凰,50.2619019205,1164749
神谕者,40.8586538022,721781
寒冬飞龙,46.4750233738,1147653
天穹守望者,39.5155025306,604998
