英雄,胜率,使用频率
敌法师,46.5627928646,7982571
斧王,54.6168896041,8083884
祸乱之源,43.9501258333,1280663
嗜血狂魔,51.5706954088,7137571
水晶室女,54.5774457834,5910141
卓尔游侠,49.1885805752,6464844
撼地者,49.0057422112,4278317
主宰,49.5421021568,8942606
米拉娜,49.9035028334,8017852
变体精灵,45.7910687027,3251241
影魔,49.7119847141,7156391
幻影长矛手,47.0175163948,2976697
帕克,41.811826271,1894122
帕吉,53.6768433644,16063888
剃刀,44.3800757351,1791243
沙王,48.1621255792,4002749
风暴之灵,47.9591338574,4690729
斯温,50.2642052779,5139375
小小,44.2947969446,3064238
复仇之魂,52.2859100814,3246825
风行者,44.7680200298,5058066
宙斯,54.4691042269,3964620
昆卡,43.7773851302,3070325
莉娜,43.2950715359,3408709
莱恩,48.3922791459,5060580
暗影萨满,50.9814367499,2779955
斯拉达,52.9937171864,5911046
潮汐猎人,52.1422534211,2309484
巫医,51.3105892325,2970763
巫妖,53.0280430266,2440999
力丸,54.7163994737,8382019
谜团,52.9987358719,2543255
修补匠,47.6283311365,4755997
狙击手,51.048428353,13485757
瘟疫法师,57.3850055939,6251478
术士,53.0255689242,1951666
兽王,44.952823228,792869
痛苦女王,41.7777636229,3799234
剧毒术士,51.0158194874,2614244
虚空假面,46.8893098275,4465681
冥魂大帝,56.6176202722,6176261
死亡先知,43.3589992086,1406407
幻影刺客,53.4035944804,14569171
帕格纳,46.0323072417,1532969
圣堂刺客,46.9532519693,2861789
冥界亚龙,49.7409277888,4376772
露娜,54.8398378074,7008458
龙骑士,50.0868145615,2843417
戴泽,50.8444199324,2476789
发条技师,49.4660730668,2205077
拉席克,44.3721792545,1002173
先知,41.8006010062,2200643
噬魂鬼,48.9069286708,5029132
黑暗贤者,49.9369778272,1473291
克林克兹,45.4766050738,3103985
全能骑士,55.3774197502,3720632
魅惑魔女,41.6315609613,1305106
哈斯卡,44.3131038577,3628649
暗夜魔王,49.6383284064,2106469
育母蜘蛛,40.0460913348,983699
赏金猎人,46.6125065202,5239523
编织者,52.642981274,6663460
杰奇洛,53.804875749,2354387
蝙蝠骑士,43.7014679632,1241448
陈,42.2532434614,426088
幽鬼,56.723664802,3593100
远古冰魄,49.8994526358,1748927
末日使者,42.9966623654,1334478
熊战士,52.937358472,4545036
裂魂人,53.4662404009,6334702
矮人直升机,44.1339926124,1520651
炼金术士,45.8878354593,3175870
祈求者,45.9582796146,8936207
沉默术士,53.5064326766,4094874
殁境神蚀者,46.765210101,3327805
狼人,52.4054367702,1502804
酒仙,46.4716035344,786207
暗影恶魔,47.2765966177,1608447
德鲁伊,44.3752288292,1332872
混沌骑士,54.013733564,2975484
米波,44.4560928509,2095661
树精卫士,54.7374625046,3451088
食人魔魔法师,53.179910644,5213527
不朽尸王,50.9914314022,1836940
拉比克,45.2330712388,4893654
干扰者,50.2732358854,2353461
司夜刺客,49.1792656242,3750178
娜迦海妖,46.2655476115,1090682
光之守卫,50.1730233814,1836457
艾欧,37.8247818222,704242
维萨吉,46.9772428872,714414
斯拉克,50.9586010837,11471508
美杜莎,50.9435799723,2741686
巨魔战将,51.5295315138,3442492
半人马战行者,56.6987968572,3133294
马格纳斯,46.8344662414,2900206
伐木机,46.4624045407,5002918
钢背兽,50.0554918815,3857321
巨牙海民,42.3499551699,1911662
天怒法师,47.5044116702,2646390
亚巴顿,56.6955659381,1819077
上古巨神,52.2673146114,1016136
军团指挥官,48.2139399924,11089633
工程师,51.0430003457,2137727
灰烬之灵,47.4463973828,4457898
大地之灵,41.60408787,1126846
孽主,54.7301185265,2024611
恐怖利刃,49.4778035094,1791567
凤凰,50.5036252171,1469843
神谕者,41.0967108258,918346
寒冬飞龙,46.4508689825,1389326
天穹守望者,39.7220707962,786963
