英雄,胜率,使用频率
敌法师,47.1368523744,9018309
斧王,54.8144978479,8976284
祸乱之源,44.0804743753,1062450
嗜血狂魔,50.4399331059,7324409
水晶室女,54.5506396629,5663061
卓尔游侠,49.7663352247,6077082
撼地者,49.3508669724,4081906
主宰,50.4728422858,9392138
米拉娜,49.2261910235,7177482
变体精灵,45.6318940188,2657376
影魔,50.4362148641,8510141
幻影长矛手,46.4947849122,3020371
帕克,42.225005945,1837667
帕吉,53.3274851842,16921593
剃刀,44.2522453764,1467460
沙王,49.1062879816,3854989
风暴之灵,47.8262904636,4037890
斯温,50.2759701274,4938578
小小,44.0823651683,2747035
复仇之魂,52.702094374,3543159
风行者,45.1179671908,5138505
宙斯,55.6234868914,4439123
昆卡,44.1943043659,2684407
莉娜,43.686626772,3597142
莱恩,48.3276876466,5144045
暗影萨满,50.3677532058,2538795
斯拉达,51.8399540564,6359099
潮汐猎人,51.2875232747,2458674
巫医,51.2751296036,3329191
巫妖,52.4176361152,2474173
力丸,55.0944282285,8270673
谜团,53.4336105276,2588558
修补匠,48.2156491584,4999157
狙击手,51.1070801774,12430536
瘟疫法师,56.1658164969,6408916
术士,52.4412942219,1775677
兽王,45.391256155,703695
痛苦女王,41.3983520564,3454123
剧毒术士,51.4397738727,2248999
虚空假面,48.0745308475,4048364
冥魂大帝,56.746844977,6422061
死亡先知,42.9633131426,1470145
幻影刺客,53.9144251314,14863102
帕格纳,45.4348501892,1560135
圣堂刺客,47.0727889249,2941725
冥界亚龙,49.0062865325,3969756
露娜,54.3571963392,6883486
龙骑士,49.7069685905,2490518
戴泽,50.7050995036,2550562
发条技师,49.5706827245,2118014
拉席克,44.5329038709,1076074
先知,42.3953175168,2343372
噬魂鬼,49.3448333469,5638718
黑暗贤者,49.489030047,1449596
克林克兹,45.2266529043,3379264
全能骑士,54.8916453101,3170375
魅惑魔女,42.1223048342,1277055
哈斯卡,44.0128859548,3305925
暗夜魔王,49.404917941,1804373
育母蜘蛛,38.8575596891,926718
赏金猎人,46.2945785351,5331013
编织者,52.2322661879,7554453
杰奇洛,53.3074381569,2214312
蝙蝠骑士,43.0815375607,1087879
陈,41.6585805528,463758
幽鬼,56.9062844032,3588869
远古冰魄,49.7218827229,1633124
末日使者,42.7412472205,1716569
熊战士,52.6941876118,4269209
裂魂人,53.7432776821,5881156
矮人直升机,44.3718471653,1275836
炼金术士,46.7172820259,3138573
祈求者,46.7300054069,11762680
沉默术士,53.0001309939,4855188
殁境神蚀者,48.328938963,3207513
狼人,51.1619889601,1255993
酒仙,47.1886076523,816197
暗影恶魔,46.356252505,1589339
德鲁伊,45.5754428562,2322029
混沌骑士,53.9260476392,3120874
米波,43.3037962552,2128624
树精卫士,54.3846396047,3309394
食人魔魔法师,52.4899170652,4988379
不朽尸王,51.4579669445,1726308
拉比克,45.579084386,5081945
干扰者,50.3351967375,2731381
司夜刺客,48.5926803339,3978023
娜迦海妖,45.5414197876,1118125
光之守卫,49.9367221514,2142930
艾欧,36.3527326967,684507
维萨吉,44.6902366092,674192
斯拉克,49.2845164237,11358332
美杜莎,50.3916646418,2646269
巨魔战将,52.1738201805,4541521
半人马战行者,56.9150080497,3518745
马格纳斯,47.0278872643,3411378
伐木机,46.5707010189,4149332
钢背兽,49.4604810502,3750378
巨牙海民,42.424716608,1635985
天怒法师,47.4870181863,2717648
亚巴顿,56.935847026,2118530
上古巨神,51.5734924055,1104740
军团指挥官,48.7601133975,10925112
工程师,52.6851840296,2323621
灰烬之灵,48.6901848324,5212453
大地之灵,41.6970594898,1355309
孽主,54.1998426953,1824485
恐怖利刃,49.8872949039,1898317
凤凰,50.2720657232,1366214
神谕者,40.942850046,849467
寒冬飞龙,46.4210557448,1318671
天穹守望者,39.6462438905,735535
