英雄,胜率,使用频率
敌法师,47.2859863245,7975752
斧王,52.477680502,8324560
祸乱之源,45.6961996389,1750360
嗜血狂魔,50.2793845408,7525828
水晶室女,55.1155667955,4964445
卓尔游侠,50.3533117959,7753633
撼地者,49.8784833164,4325332
主宰,50.0666608411,10242145
米拉娜,51.8475116301,8390935
变体精灵,47.6457412816,4169529
影魔,47.7067166133,4957826
幻影长矛手,45.2707682297,2643220
帕克,44.1089090684,1928361
帕吉,53.0179548493,15294364
剃刀,45.187645747,2395418
沙王,49.5437640941,4937358
风暴之灵,49.3166331779,5292326
斯温,54.4410441722,7861462
小小,44.9176615638,3327061
复仇之魂,52.0515175885,2937094
风行者,45.1159593902,4719842
宙斯,54.2285176008,4280318
昆卡,47.3202374126,4543145
莉娜,44.2853967904,3248642
莱恩,47.7547997864,5251692
暗影萨满,52.5581996005,3105133
斯拉达,51.4249557436,5039946
潮汐猎人,50.7903674137,2452467
巫医,49.8719437075,3096685
巫妖,54.281531313,2318925
力丸,54.2327984368,8307152
谜团,51.8880049442,2155238
修补匠,47.5221683599,4947592
狙击手,51.8415568612,10829071
瘟疫法师,54.5237588284,4729463
术士,55.6673767886,2236705
兽王,46.3029270754,792600
痛苦女王,42.1730879138,2390138
剧毒术士,51.458837739,2536814
虚空假面,47.141177137,5172601
冥魂大帝,55.7630402122,5794806
死亡先知,46.2415522128,1651320
幻影刺客,52.1018055682,14646193
帕格纳,46.5363279543,1668013
圣堂刺客,45.2236927565,2397239
冥界亚龙,48.7385177002,3207219
露娜,54.7250973025,4969813
龙骑士,49.2900359498,2419207
戴泽,51.7022623699,2474971
发条技师,50.6875528923,2108056
拉席克,45.6309628448,858965
先知,40.948107341,3107665
噬魂鬼,49.0872876659,5347468
黑暗贤者,49.6421102989,1379615
克林克兹,45.3608121465,3192035
全能骑士,59.7835492303,4616939
魅惑魔女,40.0162695055,1280924
哈斯卡,45.7765921295,4381663
暗夜魔王,49.8281871348,2035645
育母蜘蛛,39.4767545015,929965
赏金猎人,45.8362190791,5140208
编织者,49.100911525,3895779
杰奇洛,53.1265829744,2037304
蝙蝠骑士,45.1286341642,1310033
陈,42.298930591,384979
幽鬼,54.8574963521,3604820
远古冰魄,50.4660229196,2162340
末日使者,43.4272953962,1343450
熊战士,54.1370297564,5154749
裂魂人,52.4411953597,5652190
矮人直升机,44.5925120704,1541788
炼金术士,49.1845819635,5099041
祈求者,46.7739801438,10399750
沉默术士,53.6848367455,3881271
殁境神蚀者,49.7091994441,4269421
狼人,46.1829668473,1100724
酒仙,47.4833037793,788951
暗影恶魔,46.4425631246,1446266
德鲁伊,39.5582552685,755142
混沌骑士,50.0870631011,2242052
米波,47.5868311638,2132155
树精卫士,53.611470629,1479605
食人魔魔法师,54.5505570209,4833661
不朽尸王,50.7121833098,1724556
拉比克,46.2395400213,3994272
干扰者,50.9778757075,2364053
司夜刺客,50.0487798515,3679798
娜迦海妖,46.0396228541,1100476
光之守卫,50.1568320753,1923076
艾欧,38.0235641355,666776
维萨吉,44.8274827032,466417
斯拉克,51.1148883438,10455038
美杜莎,51.6092837929,3002609
巨魔战将,49.4680628228,3317967
半人马战行者,55.2747814262,2628289
马格纳斯,47.4950821316,3270726
伐木机,49.1805921904,5178740
钢背兽,48.5427332692,3703543
巨牙海民,42.1296307595,1638932
天怒法师,46.7932060814,2133143
亚巴顿,55.5735726659,2150425
上古巨神,53.9526137773,1178486
军团指挥官,49.0410217808,11097958
工程师,46.4304618909,1717267
灰烬之灵,41.832876058,2474439
大地之灵,42.2712817695,869782
孽主,54.261912972,1737119
恐怖利刃,49.0755079506,1620187
凤凰,51.1471460826,1489479
神谕者,42.6385732356,1045891
寒冬飞龙,46.2389074803,1403874
天穹守望者,43.2487118261,954840
