英雄,胜率,使用频率
敌法师,46.535739616,7166739
斧王,54.2572666504,7010073
祸乱之源,44.3254243552,1233872
嗜血狂魔,51.426170641,6375289
水晶室女,54.765465574,5121892
卓尔游侠,49.2081405269,5908561
撼地者,49.2395554708,3804025
主宰,49.4740112727,7894846
米拉娜,50.3799851532,7391473
变体精灵,46.1331078887,3055296
影魔,49.3821061727,5714574
幻影长矛手,46.8431854418,2616039
帕克,42.1041096274,1715557
帕吉,53.5103917139,13973056
剃刀,44.5372279448,1684447
沙王,48.6034345882,3589950
风暴之灵,48.3110577788,4239251
斯温,51.1010466854,4930899
小小,44.5510744384,2709369
复仇之魂,52.3120656775,2773429
风行者,44.9444533531,4465076
宙斯,54.5311798099,3679737
昆卡,44.4159229983,2913597
莉娜,43.4588919325,2989547
莱恩,48.4203391809,4455735
暗影萨满,51.3481404938,2527741
斯拉达,53.0259138127,5122056
潮汐猎人,52.1225681495,2012562
巫医,51.1369380606,2607354
巫妖,53.2847320062,2112288
力丸,54.6166643928,7549390
谜团,53.0077863698,2242380
修补匠,47.6179223406,4075182
狙击手,51.128612884,11797535
瘟疫法师,56.9953430785,5044749
术士,53.6661047179,1800876
兽王,45.2834398612,721564
痛苦女王,41.7812413025,3072015
剧毒术士,51.0921384475,2363986
虚空假面,46.7576315061,4080551
冥魂大帝,56.5243274459,5331653
死亡先知,43.8312784492,1241027
幻影刺客,53.4352468552,12890733
帕格纳,46.1438398287,1369134
圣堂刺客,46.7891953365,2426915
冥界亚龙,49.6821169943,3774030
露娜,54.7007078369,5854597
龙骑士,50.0988676727,2547850
戴泽,51.1017814873,2184916
发条技师,49.8232143315,1950950
拉席克,44.6195839505,858744
先知,41.6012246053,2067605
噬魂鬼,48.988641723,4524806
黑暗贤者,49.7333779934,1233019
克林克兹,45.4334858035,2694079
全能骑士,56.3349168019,3485176
魅惑魔女,41.388634179,1128735
哈斯卡,44.6721401501,3323295
暗夜魔王,49.8309727548,1907089
育母蜘蛛,40.1232080276,866015
赏金猎人,46.5966629482,4853266
编织者,52.1354618492,5120438
杰奇洛,53.8117120534,2027501
蝙蝠骑士,44.1899125979,1158554
陈,42.2470495067,363668
幽鬼,56.4677791755,3082882
远古冰魄,50.0882546566,1639007
末日使者,43.0464238247,1190294
熊战士,53.242871482,4131539
裂魂人,53.4504340222,5557895
矮人直升机,44.2572741194,1337997
炼金术士,46.7476995563,3450204
祈求者,45.8798995827,8017341
沉默术士,53.6587386473,3500496
殁境神蚀者,47.4965898947,3169257
狼人,52.0598008883,1335833
酒仙,46.6785473046,695810
暗影恶魔,47.0231444533,1397095
德鲁伊,43.4833104063,919585
混沌骑士,53.6566378039,2527937
米波,44.8531069222,1778947
树精卫士,54.7146948003,2985750
食人魔魔法师,53.6362967816,4514538
不朽尸王,50.9477565904,1603207
拉比克,45.3022926344,4204072
干扰者,50.3676255638,2035359
司夜刺客,49.4401084118,3331002
娜迦海妖,46.2405582846,965529
光之守卫,50.2679244589,1631430
艾欧,38.1416815226,637232
维萨吉,47.6234486401,636216
斯拉克,51.3691560768,10084022
美杜莎,51.0152501061,2364836
巨魔战将,51.1827131531,3027319
半人马战行者,56.642682345,2598920
马格纳斯,47.0963254263,2556106
伐木机,46.9730381884,4986386
钢背兽,49.9676694547,3295645
巨牙海民,42.3640174288,1661849
天怒法师,47.565774212,2284710
亚巴顿,56.4670136152,1586018
上古巨神,52.6472115531,893544
军团指挥官,48.2929452984,9983980
工程师,49.6456676428,1791115
灰烬之灵,45.7213250114,3223942
大地之灵,41.8227230447,949283
孽主,54.3040563663,1627639
恐怖利刃,49.3457440335,1536631
凤凰,50.8088302322,1294462
神谕者,41.3465683135,821258
寒冬飞龙,46.4260398107,1200531
天穹守望者,40.2621224638,714170
