英雄,胜率,使用频率
敌法师,46.5196450552,7235943
斧王,54.6149015518,7264532
祸乱之源,43.9573932189,1173616
嗜血狂魔,51.6293520572,6437559
水晶室女,54.5989671707,5338927
卓尔游侠,49.132929427,5858289
撼地者,49.039580083,3880386
主宰,49.5199103565,8027355
米拉娜,49.9459267,7285481
变体精灵,45.8220475079,2954665
影魔,49.6909544547,6376730
幻影长矛手,47.0307853996,2696538
帕克,41.8115668938,1724750
帕吉,53.6753023557,14451192
剃刀,44.420582482,1634866
沙王,48.2178998729,3605858
风暴之灵,48.0026601257,4274986
斯温,50.283087487,4657924
小小,44.3535498345,2770608
复仇之魂,52.2641797009,2913108
风行者,44.8151051363,4592610
宙斯,54.5115819605,3619983
昆卡,43.8205877827,2794570
莉娜,43.3229769829,3081845
莱恩,48.4195182318,4578509
暗影萨满,50.9998739805,2523418
斯拉达,53.0654400134,5307884
潮汐猎人,52.155411283,2084173
巫医,51.3102228062,2679010
巫妖,53.0652419464,2213300
力丸,54.6996670902,7596953
谜团,53.018742957,2290407
修补匠,47.6405006572,4273343
狙击手,51.0591669939,12197510
瘟疫法师,57.4125866451,5558161
术士,53.0592578793,1771410
兽王,44.9958456809,722140
痛苦女王,41.7494622855,3409802
剧毒术士,51.0216063634,2384529
虚空假面,46.8295445109,4058297
冥魂大帝,56.6031936721,5557114
死亡先知,43.4025647077,1271100
幻影刺客,53.4545889501,13167500
帕格纳,46.0262288598,1385573
圣堂刺客,46.9873862256,2577579
冥界亚龙,49.7613486932,3949067
露娜,54.7369144728,6254620
龙骑士,50.1162240394,2582082
戴泽,50.8723924182,2238041
发条技师,49.5148440035,1994307
拉席克,44.4082760637,903183
先知,41.8062861787,1992021
噬魂鬼,48.8950685261,4538562
黑暗贤者,49.8923208051,1318732
克林克兹,45.4536243127,2783107
全能骑士,55.4533422941,3392580
魅惑魔女,41.6296399542,1176628
哈斯卡,44.3591192514,3295106
暗夜魔王,49.6736559807,1918834
育母蜘蛛,40.0936231975,890164
赏金猎人,46.6418363578,4792530
编织者,52.6204697565,5867593
杰奇洛,53.8408663139,2128374
蝙蝠骑士,43.7758191875,1131426
陈,42.1951321995,380788
幽鬼,56.7196451033,3238802
远古冰魄,49.9164793857,1587632
末日使者,43.0258426054,1207386
熊战士,52.9981335993,4120230
裂魂人,53.4723903218,5742298
矮人直升机,44.1393301218,1373802
炼金术士,45.9031580021,2901613
祈求者,45.9232918878,8004890
沉默术士,53.5526585624,3681595
殁境神蚀者,46.8269062497,3022807
狼人,52.4328868227,1372793
酒仙,46.5202692242,710486
暗影恶魔,47.0822167488,1411671
德鲁伊,44.1450178374,1097134
混沌骑士,54.0332637237,2686410
米波,44.4397754181,1877622
树精卫士,54.7666110662,3155848
食人魔魔法师,53.2168275577,4679253
不朽尸王,50.9958863208,1659828
拉比克,45.2160905667,4402853
干扰者,50.3063407026,2118393
司夜刺客,49.2128851838,3385656
娜迦海妖,46.2970170655,984031
光之守卫,50.1807807129,1662788
艾欧,37.8332460672,639805
维萨吉,47.1654491231,657882
斯拉克,51.0102045898,10380917
美杜莎,50.9603412633,2461677
巨魔战将,51.5062410854,3110757
半人马战行者,56.7085815573,2811809
马格纳斯,46.866280894,2607062
伐木机,46.4785570833,4619754
钢背兽,50.0985955541,3467702
巨牙海民,42.3424456551,1735306
天怒法师,47.5473494202,2399343
亚巴顿,56.6899247738,1636132
上古巨神,52.3471376703,915775
军团指挥官,48.2076064551,10045757
工程师,50.804361325,1895479
灰烬之灵,47.1496930304,3895826
大地之灵,41.6465758649,996310
孽主,54.6124016263,1787572
恐怖利刃,49.4741325706,1608200
凤凰,50.5579535914,1330487
神谕者,41.1023521688,831658
寒冬飞龙,46.4273008445,1248020
天穹守望者,39.7344218758,711655
