英雄,胜率,使用频率
敌法师,46.8132190944,7666153
斧王,53.3446991381,7457457
祸乱之源,45.095002383,1462437
嗜血狂魔,50.8325615168,6947895
水晶室女,54.9444769373,5026740
卓尔游侠,49.6268471803,6699400
撼地者,49.5926073603,4010259
主宰,49.6656979315,8818372
米拉娜,51.1305055814,7963782
变体精灵,46.9111717166,3578331
影魔,48.5924992949,5297262
幻影长矛手,46.1635654923,2635507
帕克,43.013395344,1822051
帕吉,53.2520881417,14594915
剃刀,44.8254440162,1975097
沙王,49.1613733895,4139685
风暴之灵,48.8987585577,4672227
斯温,52.8726854603,6294772
小小,44.8318003691,2954733
复仇之魂,52.238547029,2795541
风行者,45.0470457396,4583093
宙斯,54.4031853414,4005850
昆卡,45.9185837191,3603014
莉娜,43.8128859318,3093001
莱恩,48.1945207788,4736111
暗影萨满,51.9776575781,2791282
斯拉达,52.4977899528,5096045
潮汐猎人,51.6863659792,2149652
巫医,50.5447894624,2779147
巫妖,53.6452239506,2117922
力丸,54.4543700239,7981398
谜团,52.6839248545,2253230
修补匠,47.5693899139,4336257
狙击手,51.4130247765,11571807
瘟疫法师,55.7750251785,4800715
术士,54.7443953833,2041219
兽王,45.7867515156,763710
痛苦女王,41.9287090679,2718803
剧毒术士,51.2760538448,2491235
虚空假面,46.8584900507,4558047
冥魂大帝,56.1800492353,5430248
死亡先知,44.8472104943,1319266
幻影刺客,52.939310852,13687307
帕格纳,46.3161352283,1479601
圣堂刺客,46.1079838985,2389597
冥界亚龙,49.3187085738,3575489
露娜,54.7419482631,5475123
龙骑士,49.8235522821,2551464
戴泽,51.4581755648,2281824
发条技师,50.3041203689,2044914
拉席克,45.1286984101,846242
先知,41.2114225253,2532890
噬魂鬼,49.0303474436,4935737
黑暗贤者,49.6299304348,1263276
克林克兹,45.3568464686,2808813
全能骑士,58.1661252563,4016054
魅惑魔女,40.8024877394,1167968
哈斯卡,45.1404822628,3797846
暗夜魔王,49.9326675798,1990126
育母蜘蛛,39.9021190308,889652
赏金猎人,46.3283124257,5079095
编织者,50.7953744129,4425903
杰奇洛,53.538116434,2015889
蝙蝠骑士,44.8142988645,1261247
陈,42.4817001823,367490
幽鬼,55.6682938548,3180128
远古冰魄,50.3548390514,1888180
末日使者,43.2282117295,1257718
熊战士,53.6757217439,4573714
裂魂人,53.0633628852,5628863
矮人直升机,44.4582664895,1415613
炼金术士,48.0636580898,4443740
祈求者,46.1874554026,9186345
沉默术士,53.7218271691,3623704
殁境神蚀者,48.680103298,3751089
狼人,50.2255313961,1304253
酒仙,47.0947204862,727245
暗影恶魔,46.8142424618,1402398
德鲁伊,41.6866402931,792712
混沌骑士,52.2433092735,2405531
米波,46.1004778616,1890924
树精卫士,54.4607757177,2469223
食人魔魔法师,54.2551373986,4776250
不朽尸王,50.7507870427,1663188
拉比克,45.713487711,4142482
干扰者,50.6627516584,2160915
司夜刺客,49.75725516,3485347
娜迦海妖,46.2191015177,1026264
光之守卫,50.2995784601,1746454
艾欧,38.4170287745,669690
维萨吉,47.5532182062,605244
斯拉克,51.5501566481,10395272
美杜莎,51.2083182823,2574570
巨魔战将,50.3435751959,3168011
半人马战行者,56.1608294356,2573509
马格纳斯,47.5601504723,3004673
伐木机,47.989636447,5442921
钢背兽,49.3277799571,3393011
巨牙海民,42.325441504,1645795
天怒法师,47.335218356,2217480
亚巴顿,55.8580848966,1718915
上古巨神,53.2356998746,984362
军团指挥官,48.6036944917,10695761
工程师,48.1773301771,1762881
灰烬之灵,43.2489905399,2630614
大地之灵,42.0744812452,929630
孽主,54.1730110451,1603782
恐怖利刃,49.2451559421,1569397
凤凰,51.0669631551,1366214
神谕者,41.9998845294,900662
寒冬飞龙,46.4188419185,1278511
天穹守望者,41.822938628,811086
