英雄,胜率,使用频率
敌法师,46.6626511198,8500295
斧王,53.9338227416,8353897
祸乱之源,44.6368400794,1519785
嗜血狂魔,51.1870851765,7671185
水晶室女,54.806354298,5900699
卓尔游侠,49.4096828267,7199943
撼地者,49.3601172674,4497074
主宰,49.5798754743,9591918
米拉娜,50.6517110199,8774211
变体精灵,46.454262694,3751970
影魔,49.1289461549,6479852
幻影长矛手,46.5679645943,3034992
帕克,42.4582601467,2023366
帕吉,53.4331768475,16519918
剃刀,44.6334130839,2068950
沙王,48.8194788033,4422284
风暴之灵,48.5290281407,5083102
斯温,51.9037658131,6308943
小小,44.6413016011,3256789
复仇之魂,52.2662171093,3227471
风行者,44.9571235273,5221395
宙斯,54.4619139349,4369459
昆卡,45.0395153871,3663130
莉娜,43.6003807113,3512373
莱恩,48.304631378,5293716
暗影萨满,51.5809477161,3037893
斯拉达,52.7997124369,5908964
潮汐猎人,51.9655346197,2396956
巫医,50.905066704,3102589
巫妖,53.4416444539,2446040
力丸,54.5389208147,8913187
谜团,52.8511257396,2594028
修补匠,47.5776523106,4866436
狙击手,51.2466616799,13549105
瘟疫法师,56.5783274195,5755992
术士,54.0755934537,2186565
兽王,45.4206931564,846995
痛苦女王,41.8417232567,3423750
剧毒术士,51.1595127038,2778926
虚空假面,46.82169062,4931883
冥魂大帝,56.3989428009,6245938
死亡先知,44.1862560706,1475968
幻影刺客,53.2163820959,15316868
帕格纳,46.1734846277,1640422
圣堂刺客,46.5296536738,2809028
冥界亚龙,49.5559186314,4272753
露娜,54.7095258851,6694538
龙骑士,49.9750624624,2951374
戴泽,51.2122531319,2572730
发条技师,49.9884757772,2303843
拉席克,44.7807844024,995025
先知,41.4153972731,2615619
噬魂鬼,48.9929043799,5430815
黑暗贤者,49.7027260087,1454214
克林克兹,45.3592091548,3170785
全能骑士,57.0681851577,4267043
魅惑魔女,41.1272014361,1330268
哈斯卡,44.8558335669,4053232
暗夜魔王,49.8316910843,2236364
育母蜘蛛,40.0270742539,1013509
赏金猎人,46.450283534,5656818
编织者,51.6887560429,5724924
杰奇洛,53.6984441629,2345297
蝙蝠骑士,44.4023146617,1381973
陈,42.2940218546,423710
幽鬼,56.153408681,3645061
远古冰魄,50.1995487339,2010787
末日使者,43.084165988,1409548
熊战士,53.4161354709,4979018
裂魂人,53.2923106157,6483562
矮人直升机,44.3185615914,1588867
炼金术士,47.333645079,4409578
祈求者,46.0324465587,9876918
沉默术士,53.6535161539,4132868
殁境神蚀者,47.9957809662,3932654
狼人,51.1754229625,1528386
酒仙,46.8277496693,821026
暗影恶魔,46.9692735711,1624660
德鲁伊,42.9222975111,1027007
混沌骑士,53.1460618659,2874864
米波,45.3581512851,2135927
树精卫士,54.6174663089,3187863
食人魔魔法师,53.8451053799,5392492
不朽尸王,50.877411907,1883209
拉比克,45.4720646304,4860129
干扰者,50.4593867573,2420836
司夜刺客,49.5497725608,3934678
娜迦海妖,46.2218082942,1147811
光之守卫,50.2529748615,1937149
艾欧,38.226854169,757253
维萨吉,47.3503267919,708861
斯拉克,51.3642704932,11833687
美杜莎,51.0875987913,2849948
巨魔战将,50.9050531306,3574873
半人马战行者,56.4322958748,3007542
马格纳斯,47.2738481996,3164589
伐木机,47.3810752114,5857862
钢背兽,49.6976801341,3885785
巨牙海民,42.3346135207,1918990
天怒法师,47.4682518011,2614794
亚巴顿,56.2280820459,1906542
上古巨神,52.8679244934,1081601
军团指挥官,48.4350082196,11834535
工程师,49.1581726026,2062715
灰烬之灵,45.139680393,3555116
大地之灵,41.8895763179,1089567
孽主,54.2745033267,1888968
恐怖利刃,49.3025079937,1800164
凤凰,50.8609678885,1531416
神谕者,41.6127793719,989720
寒冬飞龙,46.4218073876,1435110
天穹守望者,40.9508578708,872917
