英雄,胜率,使用频率
敌法师,47.2808554068,8743816
斧王,52.4517093481,9201315
祸乱之源,45.6750995353,1967895
嗜血狂魔,50.2923121643,8146428
水晶室女,55.1102262566,5478867
卓尔游侠,50.4073312519,8583309
撼地者,49.8666882677,4789901
主宰,50.0518373572,11275652
米拉娜,51.8331347351,9169266
变体精灵,47.6078652076,4602040
影魔,47.7196123751,5396144
幻影长矛手,45.3176883471,2937171
帕克,44.0658132938,2150994
帕吉,52.9697071187,16696596
剃刀,45.2592502367,2717471
沙王,49.5411448051,5448124
风暴之灵,49.2880704881,5876284
斯温,54.4701746547,8629372
小小,44.9595766262,3674483
复仇之魂,52.083326949,3263194
风行者,45.1283290745,5225589
宙斯,54.2703343164,4770212
昆卡,47.3314389148,5099190
莉娜,44.2907128364,3585325
莱恩,47.7591094545,5854659
暗影萨满,52.5883642645,3431704
斯拉达,51.3855154188,5463382
潮汐猎人,50.5810451837,2737911
巫医,49.8669382027,3430361
巫妖,54.5506942795,2770786
力丸,54.2182182422,9164770
谜团,51.8575979876,2349405
修补匠,47.5187342637,5492076
狙击手,51.8198280532,11795510
瘟疫法师,54.5550985472,5226989
术士,55.6100231883,2408974
兽王,46.339865954,884025
痛苦女王,42.174606508,2657106
剧毒术士,51.4769293512,2756056
虚空假面,47.136022569,5753729
冥魂大帝,55.8450312613,6594259
死亡先知,46.7239227879,2008286
幻影刺客,52.1178261436,16212497
帕格纳,46.4986355355,1839183
圣堂刺客,45.2816455601,2647512
冥界亚龙,48.7961467204,3540257
露娜,54.7165811965,5288587
龙骑士,49.307087341,2621759
戴泽,51.7233042553,2771275
发条技师,50.648251856,2277587
拉席克,45.6342262544,940658
先知,40.9931110763,3424773
噬魂鬼,49.0511570361,5821037
黑暗贤者,49.5724031586,1522696
克林克兹,45.5863304618,3722730
全能骑士,59.7717301899,5100105
魅惑魔女,40.0050122482,1416530
哈斯卡,45.8377381505,4864939
暗夜魔王,49.8558275666,2259794
育母蜘蛛,39.5257474179,1028608
赏金猎人,45.8510166147,5761327
编织者,49.120725848,4210689
杰奇洛,53.1407289775,2225391
蝙蝠骑士,45.0188167488,1422403
陈,42.1472961953,426732
幽鬼,54.9384727888,4154422
远古冰魄,50.4091016369,2372760
末日使者,43.4632999,1487639
熊战士,54.1867534308,5698819
裂魂人,52.4462821858,6201574
矮人直升机,44.5667084031,1705145
炼金术士,49.0923492519,5413536
祈求者,46.795153052,11343303
沉默术士,53.6556465061,4276193
殁境神蚀者,49.7138051646,4630412
狼人,46.2041714443,1206153
酒仙,47.5018673701,868869
暗影恶魔,46.0286261498,1531397
德鲁伊,39.6318639975,833279
混沌骑士,50.1208211475,2475560
米波,47.594114076,2345664
树精卫士,53.5871211043,1615418
食人魔魔法师,54.4924156282,5172017
不朽尸王,50.7001723811,1887678
拉比克,46.187360631,4352654
干扰者,50.9846683036,2596712
司夜刺客,50.0179647109,4038473
娜迦海妖,46.089254472,1202584
光之守卫,50.1479598585,2147204
艾欧,37.6441985015,730070
维萨吉,44.6957840402,514355
斯拉克,51.1021704114,11447277
美杜莎,51.6418380082,3311563
巨魔战将,49.4949955629,3639770
半人马战行者,55.2608655896,2909046
马格纳斯,47.3821415127,3477327
伐木机,49.0648152872,5664389
钢背兽,48.5537050673,4105283
巨牙海民,42.1071748433,1808820
天怒法师,46.7481519109,2358382
亚巴顿,55.8913983105,2588910
上古巨神,53.980209875,1316212
军团指挥官,49.045582327,12193037
工程师,46.2984644458,1894430
灰烬之灵,41.776003854,2694341
大地之灵,42.1748264878,953391
孽主,54.2114857107,1938722
恐怖利刃,49.0719958636,1775477
凤凰,51.1868278348,1650450
神谕者,42.5520229865,1178085
寒冬飞龙,46.1958446657,1530274
天穹守望者,43.1391346278,1047295
