英雄,胜率,使用频率
敌法师,46.5390255921,8010013
斧王,54.2969190129,7898962
祸乱之源,44.2630637027,1352220
嗜血狂魔,51.449460592,7139587
水晶室女,54.7279041835,5759846
卓尔游侠,49.2298441165,6575487
撼地者,49.2131417644,4249749
主宰,49.525499416,8892086
米拉娜,50.3036425943,8237316
变体精灵,46.088925605,3394208
影魔,49.4536950806,6555405
幻影长矛手,46.8462627809,2919885
帕克,42.0809045634,1908545
帕吉,53.5477634767,15708488
剃刀,44.5024070776,1855985
沙王,48.5098307654,4042259
风暴之灵,48.2514341568,4726645
斯温,51.0049090649,5451140
小小,44.4872812065,3033739
复仇之魂,52.2868728615,3119347
风行者,44.8923373582,4987849
宙斯,54.504611176,4070762
昆卡,44.3728247013,3228005
莉娜,43.4354048296,3353695
莱恩,48.3901960199,4993931
暗影萨满,51.266382949,2807721
斯拉达,53.0028433346,5772096
潮汐猎人,52.0890350811,2266118
巫医,51.1536961642,2930971
巫妖,53.215638201,2377895
力丸,54.6418746739,8408844
谜团,52.9991514758,2501991
修补匠,47.6060015226,4609297
狙击手,51.1122894803,13195261
瘟疫法师,57.090802486,5768113
术士,53.5623959378,2006613
兽王,45.2063239311,801337
痛苦女王,41.7536287139,3477954
剧毒术士,51.080513853,2623474
虚空假面,46.8061634174,4534108
冥魂大帝,56.5052286576,5989874
死亡先知,43.7378900091,1390897
幻影刺客,53.3760189896,14419676
帕格纳,46.1306585848,1530661
圣堂刺客,46.7893657992,2737808
冥界亚龙,49.6625942887,4236591
露娜,54.7560400225,6665745
龙骑士,50.061710867,2845528
戴泽,51.0461078544,2447262
发条技师,49.7623383719,2196400
拉席克,44.5762619451,972051
先知,41.6214106137,2297851
噬魂鬼,48.9817981386,5072668
黑暗贤者,49.7805708419,1410478
克林克兹,45.4237860209,3010163
全能骑士,56.196279039,3863948
魅惑魔女,41.3974724352,1270551
哈斯卡,44.6144495077,3696818
暗夜魔王,49.7807182311,2116227
育母蜘蛛,40.0663912232,969104
赏金猎人,46.5840478245,5347045
编织者,52.245774631,5922678
杰奇洛,53.8016622433,2280292
蝙蝠骑士,44.0984293959,1285429
陈,42.2570315796,410043
幽鬼,56.5027745827,3476739
远古冰魄,50.0682937438,1820811
末日使者,43.0378417467,1333078
熊战士,53.1918352746,4606989
裂魂人,53.4227218171,6216237
矮人直升机,44.2237161574,1500437
炼金术士,46.6759091445,3748634
祈求者,45.9145722065,8990821
沉默术士,53.6164017089,3954027
殁境神蚀者,47.3991287986,3514457
狼人,52.0278536441,1480309
酒仙,46.6590498418,778102
暗影恶魔,47.1187803231,1592225
德鲁伊,43.6287104609,1082379
混沌骑士,53.65486465,2838272
米波,44.8227473895,2023863
树精卫士,54.7233097684,3317356
食人魔魔法师,53.5489812997,5121526
不朽尸王,50.9598292748,1800789
拉比克,45.3210867561,4742223
干扰者,50.3710852751,2302301
司夜刺客,49.4032370204,3730962
娜迦海妖,46.2524357513,1087960
光之守卫,50.2528059159,1828280
艾欧,38.0758269548,710196
维萨吉,47.401285688,700481
斯拉克,51.2515840102,11287017
美杜莎,51.0024457001,2677352
巨魔战将,51.2092986387,3380968
半人马战行者,56.6418591624,2963485
马格纳斯,47.0489510004,2880840
伐木机,46.9284584769,5440379
钢背兽,49.9452898271,3726912
巨牙海民,42.3499591415,1862526
天怒法师,47.5466665418,2563614
亚巴顿,56.4859579873,1787315
上古巨神,52.5755006372,1006018
军团指挥官,48.2774964681,11148250
工程师,49.9657090415,2009276
灰烬之灵,46.2270382619,3802848
大地之灵,41.821252119,1077182
孽主,54.4111935744,1874504
恐怖利刃,49.3565190214,1727790
凤凰,50.7459951964,1451819
神谕者,41.3098686064,919451
寒冬飞龙,46.4219572284,1356929
天穹守望者,40.2080379913,796393
