英雄,胜率,使用频率
敌法师,46.6668255242,8099501
斧王,53.8868268888,7949132
祸乱之源,44.682008971,1464491
嗜血狂魔,51.1610999427,7314745
水晶室女,54.8118540871,5605729
卓尔游侠,49.4072127854,6885523
撼地者,49.378782948,4292783
主宰,49.5753388656,9139758
米拉娜,50.6981847507,8377582
变体精灵,46.4907431839,3592812
影魔,49.0804359478,6108438
幻影长矛手,46.5392958313,2893284
帕克,42.4899194069,1934906
帕吉,53.412270011,15727712
剃刀,44.6494932051,1990746
沙王,48.8459692091,4220338
风暴之灵,48.5627402876,4858760
斯温,51.9728755261,6068173
小小,44.6575352166,3106918
复仇之魂,52.2708401225,3068600
风行者,44.9668040472,4977414
宙斯,54.4701808201,4191128
昆卡,45.0962569033,3519332
莉娜,43.613438273,3347067
莱恩,48.3040054754,5046567
暗影萨满,51.6104417367,2908022
斯拉达,52.8021286855,5620370
潮汐猎人,51.9572779341,2285470
巫医,50.880846121,2956362
巫妖,53.4636165313,2328159
力丸,54.5208711108,8514233
谜团,52.8459475764,2473236
修补匠,47.5746483891,4620093
狙击手,51.2641048577,12900077
瘟疫法师,56.5041436037,5432952
术士,54.1351275448,2093696
兽王,45.4653930585,810401
痛苦女王,41.8427247065,3241450
剧毒术士,51.1756523557,2659247
虚空假面,46.8126495437,4722700
冥魂大帝,56.3909749133,5942990
死亡先知,44.2337780822,1407386
幻影刺客,53.2128667401,14600839
帕格纳,46.1868406893,1566693
圣堂刺客,46.504756944,2664736
冥界亚龙,49.549756407,4059025
露娜,54.7000840575,6336142
龙骑士,49.9786886625,2817749
戴泽,51.2478669681,2453667
发条技师,50.0144347191,2196094
拉席克,44.8225328251,944400
先知,41.3873449586,2504251
噬魂鬼,48.9983772809,5180194
黑暗贤者,49.6972819973,1377850
克林克兹,45.3768963591,3026787
全能骑士,57.1501375358,4087299
魅惑魔女,41.1355727565,1265564
哈斯卡,44.8756476564,3884969
暗夜魔王,49.8594670925,2138645
育母蜘蛛,40.0348523747,965214
赏金猎人,46.4523590232,5427649
编织者,51.6269945944,5383300
杰奇洛,53.7008918865,2230665
蝙蝠骑士,44.4414876527,1322755
陈,42.3200250556,402306
幽鬼,56.1310434596,3466392
远古冰魄,50.2126226679,1927358
末日使者,43.0979138002,1344550
熊战士,53.4379225729,4760273
裂魂人,53.2949487232,6180081
矮人直升机,44.3154158985,1513963
炼金术士,47.3912163691,4269806
祈求者,46.0269651077,9437307
沉默术士,53.6722455392,3931559
殁境神蚀者,48.0487235021,3775016
狼人,51.1533004564,1457556
酒仙,46.8581552312,782884
暗影恶魔,46.9385119234,1540754
德鲁伊,42.8195699164,953954
混沌骑士,53.1148792686,2732016
米波,45.3872340089,2025726
树精卫士,54.6090595654,3031779
食人魔魔法师,53.8962821426,5118405
不朽尸王,50.8796344249,1795746
拉比克,45.4846111068,4615959
干扰者,50.4583814979,2301140
司夜刺客,49.5635530636,3752919
娜迦海妖,46.2364183194,1091912
光之守卫,50.2711727055,1846056
艾欧,38.2465461099,723532
维萨吉,47.4349628517,679035
斯拉克,51.4083253473,11274845
美杜莎,51.0955873663,2707680
巨魔战将,50.8769099921,3409700
半人马战行者,56.430598198,2852534
马格纳斯,47.3178516315,3019091
伐木机,47.4188937924,5644944
钢背兽,49.6907663508,3685401
巨牙海民,42.3451209406,1825731
天怒法师,47.4791542471,2487677
亚巴顿,56.2114145073,1816583
上古巨神,52.9111936743,1030591
军团指挥官,48.4390477231,11299865
工程师,49.080957247,1966013
灰烬之灵,44.9066060535,3304015
大地之灵,41.9053813773,1033137
孽主,54.2294314985,1783443
恐怖利刃,49.3052495434,1713349
凤凰,50.9128752092,1459619
神谕者,41.6482781926,943979
寒冬飞龙,46.41789128,1362675
天穹守望者,41.0040632725,834549
