英雄,胜率,使用频率
敌法师,47.2594378803,8598382
斧王,52.4889772185,8925152
祸乱之源,45.6902432263,1872043
嗜血狂魔,50.2843901723,8118424
水晶室女,55.1270014922,5374740
卓尔游侠,50.3205079977,8307281
撼地者,49.883231009,4647638
主宰,50.0500493039,11000153
米拉娜,51.8402008861,9110038
变体精灵,47.6147023949,4494261
影魔,47.7039206499,5329193
幻影长矛手,45.2976814282,2849254
帕克,44.0694144713,2076397
帕吉,53.0221963197,16468586
剃刀,45.1543040229,2554308
沙王,49.5405664244,5293910
风暴之灵,49.314159339,5650292
斯温,54.3962505287,8406732
小小,44.9248501526,3559954
复仇之魂,52.0640123189,3153518
风行者,45.112391,5071447
宙斯,54.2328318896,4610554
昆卡,47.2759481865,4842217
莉娜,44.2692162314,3494871
莱恩,47.7804789379,5625155
暗影萨满,52.5566230233,3333538
斯拉达,51.4886079923,5479280
潮汐猎人,50.8490668196,2622644
巫医,49.8949975024,3325159
巫妖,54.2536602078,2481075
力丸,54.2405006235,8962904
谜团,51.9543580301,2341792
修补匠,47.5084524177,5285470
狙击手,51.8215388415,11758794
瘟疫法师,54.5412486176,5083734
术士,55.662631253,2415944
兽王,46.2885035005,852877
痛苦女王,42.1527538013,2563275
剧毒术士,51.4444244428,2727557
虚空假面,47.1289720747,5537912
冥魂大帝,55.7704884122,6226544
死亡先知,46.1751018779,1756269
幻影刺客,52.128296722,15735024
帕格纳,46.5290589697,1789241
圣堂刺客,45.223982045,2582015
冥界亚龙,48.7535666188,3491402
露娜,54.7736610894,5460484
龙骑士,49.3106133775,2641261
戴泽,51.6982509286,2663299
发条技师,50.6984654254,2288517
拉席克,45.6160794192,928541
先知,40.9389257107,3329699
噬魂鬼,49.1090770209,5778614
黑暗贤者,49.6239233166,1483607
克林克兹,45.3459781918,3409449
全能骑士,59.7455940913,4952951
魅惑魔女,40.0167842682,1372714
哈斯卡,45.7654673811,4689514
暗夜魔王,49.8313707087,2190604
育母蜘蛛,39.4631800547,1000857
赏金猎人,45.8525813822,5551212
编织者,49.1492358662,4224849
杰奇洛,53.1384200334,2188426
蝙蝠骑士,45.1287340182,1421458
陈,42.3236184106,414414
幽鬼,54.8861755311,3846976
远古冰魄,50.4814969942,2332621
末日使者,43.4024601803,1448593
熊战士,54.1213572491,5542446
裂魂人,52.4738035477,6085366
矮人直升机,44.5881930033,1655205
炼金术士,49.1440129198,5590797
祈求者,46.7343179083,11198809
沉默术士,53.688232951,4162454
殁境神蚀者,49.6980394956,4622790
狼人,46.3787789752,1196323
酒仙,47.4618325562,847974
暗影恶魔,46.6272186412,1611741
德鲁伊,39.6215348863,813285
混沌骑士,50.1274323244,2418931
米波,47.5490571747,2283509
树精卫士,53.6807496083,1655478
食人魔魔法师,54.5780110597,5248775
不朽尸王,50.7127788133,1855274
拉比克,46.2250559203,4351283
干扰者,50.9654561141,2540768
司夜刺客,50.0690777617,3983916
娜迦海妖,46.0383182428,1190921
光之守卫,50.1738838055,2064022
艾欧,38.1085662529,722066
维萨吉,44.9714043551,504972
斯拉克,51.1731746709,11269379
美杜莎,51.573101025,3211364
巨魔战将,49.4770127625,3561846
半人马战行者,55.3034684949,2821512
马格纳斯,47.508912544,3502928
伐木机,49.1637980726,5669444
钢背兽,48.5604095381,3972866
巨牙海民,42.1293475782,1762878
天怒法师,46.8286968337,2301341
亚巴顿,55.5743501187,2292034
上古巨神,53.9334586631,1258015
军团指挥官,49.0166717656,11992791
工程师,46.4531207779,1857774
灰烬之灵,41.826318008,2657040
大地之灵,42.282687164,962725
孽主,54.2220731118,1862900
恐怖利刃,49.0546481187,1743372
凤凰,51.1706499981,1597574
神谕者,42.6339299676,1119111
寒冬飞龙,46.2446781968,1507008
天穹守望者,43.1831015965,1021777
