英雄,胜率,使用频率
敌法师,47.2956924101,8709882
斧王,52.4496688243,9269702
祸乱之源,45.7238792008,2031140
嗜血狂魔,50.3367172593,8008351
水晶室女,55.1363565886,5495004
卓尔游侠,50.454786887,8675492
撼地者,49.892883679,4866672
主宰,50.0398596604,11200547
米拉娜,51.8519774277,9143065
变体精灵,47.5989052584,4714537
影魔,47.721985853,5314190
幻影长矛手,45.393486071,2971325
帕克,44.0852636149,2201924
帕吉,52.9340899066,16522568
剃刀,45.3502898959,2826359
沙王,49.5269138502,5392781
风暴之灵,49.2819482046,5877083
斯温,54.5023361756,8575126
小小,44.9958759302,3692954
复仇之魂,52.1501464987,3312658
风行者,45.1606124384,5277331
宙斯,54.3480991871,4871600
昆卡,47.4008158687,5277810
莉娜,44.3089894891,3618259
莱恩,47.7820324265,5910659
暗影萨满,52.6282992693,3467927
斯拉达,51.3360544308,5407377
潮汐猎人,50.471188932,2786568
巫医,49.8784906741,3470927
巫妖,54.5646201592,2779125
力丸,54.21231892,9240599
谜团,51.853231898,2329498
修补匠,47.5508808449,5561081
狙击手,51.7819257244,11708176
瘟疫法师,54.6445427678,5257482
术士,55.6022847273,2339010
兽王,46.4152623495,898420
痛苦女王,42.1686055213,2699532
剧毒术士,51.4864536617,2729483
虚空假面,47.118309369,5849934
冥魂大帝,55.8628357952,6575214
死亡先知,46.7695985136,2032348
幻影刺客,52.1082902496,16363283
帕格纳,46.4825863443,1843869
圣堂刺客,45.299563089,2614491
冥界亚龙,48.8410351129,3556018
露娜,54.7350059326,5152021
龙骑士,49.3469153296,2599127
戴泽,51.735019429,2847288
发条技师,50.6290356604,2237552
拉席克,45.6494819174,944830
先知,41.0765563589,3422877
噬魂鬼,49.0548304638,5738124
黑暗贤者,49.5394928399,1511160
克林克兹,45.6396361144,3761842
全能骑士,59.7799962468,5153003
魅惑魔女,40.0089045766,1432971
哈斯卡,45.934085637,4941533
暗夜魔王,49.9006762891,2297538
育母蜘蛛,39.5184526345,1037738
赏金猎人,45.8425264411,5939232
编织者,49.1528032167,4152105
杰奇洛,53.1769203369,2200968
蝙蝠骑士,44.9784799115,1404734
陈,42.0438598329,429687
幽鬼,54.9844002355,4119934
远古冰魄,50.4143334338,2381174
末日使者,43.473261259,1504465
熊战士,54.2765392205,5722653
裂魂人,52.4738146499,6164993
矮人直升机,44.5710217159,1713490
炼金术士,49.0383643492,5263324
祈求者,46.8310900332,11109451
沉默术士,53.6955388894,4235201
殁境神蚀者,49.6314286904,4540641
狼人,46.2604214164,1195255
酒仙,47.5138745093,868319
暗影恶魔,45.8491270914,1555203
德鲁伊,39.7476510452,836223
混沌骑士,50.1973365163,2503338
米波,47.6207014248,2340921
树精卫士,53.566112125,1605530
食人魔魔法师,54.4285165218,4935637
不朽尸王,50.7528501209,1884306
拉比克,46.1663487789,4266181
干扰者,51.028708208,2585184
司夜刺客,50.0389834154,4045310
娜迦海妖,46.1108356516,1202032
光之守卫,50.1645087461,2204746
艾欧,37.4163762872,716304
维萨吉,44.5955588648,515724
斯拉克,51.0775554239,11376909
美杜莎,51.6978249826,3330732
巨魔战将,49.5131813143,3622704
半人马战行者,55.2774072119,2951942
马格纳斯,47.185883915,3265608
伐木机,48.9818450957,5654395
钢背兽,48.5915089821,4140069
巨牙海民,42.0985835868,1820161
天怒法师,46.7076351379,2375648
亚巴顿,55.9358702857,2600916
上古巨神,54.1268633418,1354891
军团指挥官,49.0695264965,12166225
工程师,46.2070601652,1901032
灰烬之灵,41.7355998707,2683153
大地之灵,42.1249846367,951941
孽主,54.1591377936,2000078
恐怖利刃,49.0707112546,1781739
凤凰,51.2805757811,1668273
神谕者,42.532588758,1226650
寒冬飞龙,46.1278288786,1519109
天穹守望者,43.0026955157,1046553
