英雄,胜率,使用频率
敌法师,46.8146526272,7178699
斧王,54.6659979082,7247260
祸乱之源,43.8384109051,925508
嗜血狂魔,51.1673192501,6206614
水晶室女,54.4665906938,5016701
卓尔游侠,49.4987592155,5419152
撼地者,49.1338024942,3535106
主宰,49.9172530019,7913278
米拉娜,49.4147031012,6679516
变体精灵,45.5251712192,2542209
影魔,50.0668246961,6729548
幻影长矛手,46.7920484992,2507753
帕克,41.9594460378,1540466
帕吉,53.6113838463,14495136
剃刀,44.2760235969,1300512
沙王,48.0179045444,3398020
风暴之灵,47.6238076724,3639415
斯温,50.2000392335,4261664
小小,44.0000742628,2477689
复仇之魂,52.3653793268,2923548
风行者,44.510824425,4183825
宙斯,54.7227900461,3286426
昆卡,43.7443936322,2363384
莉娜,43.2644776393,2964848
莱恩,48.2325395543,4419618
暗影萨满,50.5503128765,2275978
斯拉达,52.6323542931,5308328
潮汐猎人,51.6332214242,2065366
巫医,51.1699236526,2832578
巫妖,52.6887208722,2190391
力丸,54.9509449533,7134638
谜团,52.9638014228,2141051
修补匠,47.9864163271,4197392
狙击手,51.0538460225,10892578
瘟疫法师,57.2943879313,5701623
术士,52.6410995533,1557287
兽王,44.9154307133,605066
痛苦女王,41.70221826,3386393
剧毒术士,51.0870750387,1981004
虚空假面,47.408243853,3522843
冥魂大帝,56.5258403715,5416176
死亡先知,42.9329385989,1257892
幻影刺客,53.3555616582,12490070
帕格纳,45.5044684385,1302916
圣堂刺客,46.7910658524,2503339
冥界亚龙,49.3302437812,3601385
露娜,55.3147334947,6599663
龙骑士,49.7146998198,2252014
戴泽,50.6790880211,2095531
发条技师,49.1797403084,1847037
拉席克,44.2643296776,908063
先知,41.8732328568,1924363
噬魂鬼,48.8939029028,4536175
黑暗贤者,49.9886476115,1347734
克林克兹,45.0064177917,2887286
全能骑士,54.9637519486,2933537
魅惑魔女,41.5140337605,1086594
哈斯卡,43.8696729515,2900457
暗夜魔王,49.3716535551,1604688
育母蜘蛛,39.596800923,790478
赏金猎人,46.0534609414,4513613
编织者,52.7854697566,6529168
杰奇洛,53.5048758133,1956289
蝙蝠骑士,43.0823122696,980595
陈,41.930080496,383870
幽鬼,56.6222456634,3079099
远古冰魄,49.7041829666,1415909
末日使者,42.6937078373,1168835
熊战士,52.6180589453,3697835
裂魂人,53.4017838281,5164511
矮人直升机,44.1837228863,1176990
炼金术士,45.9909761724,2380143
祈求者,46.1968008585,8438764
沉默术士,53.1745720397,3823602
殁境神蚀者,47.1471982791,2725093
狼人,51.7939637972,1112620
酒仙,46.4749776448,648620
暗影恶魔,48.0054662171,1557933
德鲁伊,45.5900573561,1723968
混沌骑士,53.7944163825,2558628
米波,44.4931449734,1937921
树精卫士,54.6903975161,2808440
食人魔魔法师,52.774780935,4662314
不朽尸王,51.1135528068,1480756
拉比克,45.4022632064,4321126
干扰者,50.2949773221,2195084
司夜刺客,48.8367278469,3284614
娜迦海妖,45.74203559,971227
光之守卫,49.7986528019,1583583
艾欧,36.8581199486,564942
维萨吉,44.4602528451,572129
斯拉克,50.2366783353,9909441
美杜莎,50.7708557083,2361272
巨魔战将,51.6342395599,3371048
半人马战行者,56.4671220379,2723785
马格纳斯,46.776682281,2642231
伐木机,46.3301177633,3516121
钢背兽,49.7124968615,3309703
巨牙海民,42.309777968,1469743
天怒法师,47.2422813634,2288649
亚巴顿,56.7063591202,1665136
上古巨神,51.7445079339,957290
军团指挥官,48.3191205141,9339456
工程师,52.2758690118,1887345
灰烬之灵,48.7239301845,4867171
大地之灵,41.6340362784,1068789
孽主,55.2546657834,1810039
恐怖利刃,49.4849002766,1503107
凤凰,50.2201554715,1218230
神谕者,40.9412201891,758866
寒冬飞龙,46.4879101499,1206632
天穹守望者,39.6358632035,632180
