英雄,胜率,使用频率
敌法师,47.2830708652,7734081
斧王,52.4759988581,8074095
祸乱之源,45.6901485665,1700047
嗜血狂魔,50.2755548155,7278951
水晶室女,55.1151887591,4817701
卓尔游侠,50.3605543581,7526327
撼地者,49.8735928417,4196756
主宰,50.0671044959,9929290
米拉娜,51.8444845624,8109420
变体精灵,47.6425608786,4029945
影魔,47.717791582,4808347
幻影长矛手,45.270562264,2563920
帕克,44.1078975143,1872184
帕吉,53.0215621173,14830640
剃刀,45.1910093727,2327713
沙王,49.5423999103,4780812
风暴之灵,49.3178595328,5143662
斯温,54.4496822808,7625286
小小,44.9321532937,3229044
复仇之魂,52.0562721605,2851641
风行者,45.1177123878,4581336
宙斯,54.2390341553,4155699
昆卡,47.32169824,4413487
莉娜,44.2850673244,3148786
莱恩,47.7584919479,5101097
暗影萨满,52.5675681059,3012072
斯拉达,51.4170108558,4876921
潮汐猎人,50.7720855278,2380371
巫医,49.8776794035,3004400
巫妖,54.2891342995,2255630
力丸,54.2385026702,8054979
谜团,51.885746537,2087184
修补匠,47.5247222015,4807622
狙击手,51.8416294517,10475180
瘟疫法师,54.5322388648,4590965
术士,55.6584370225,2163115
兽王,46.3188720766,769343
痛苦女王,42.1772678958,2320973
剧毒术士,51.4619041522,2460045
虚空假面,47.1435161633,5020438
冥魂大帝,55.7773306835,5624466
死亡先知,46.2516498786,1607694
幻影刺客,52.1130685984,14208578
帕格纳,46.5342073175,1615590
圣堂刺客,45.2344935177,2323625
冥界亚龙,48.7362484692,3109472
露娜,54.7191944456,4773855
龙骑士,49.3034284811,2334649
戴泽,51.6982280319,2402357
发条技师,50.6832774534,2036508
拉席克,45.636690392,830757
先知,40.9579652408,3015433
噬魂鬼,49.0841857953,5168461
黑暗贤者,49.6338854905,1334282
克林克兹,45.3686715595,3104023
全能骑士,59.7866545001,4475651
魅惑魔女,40.0239806224,1242670
哈斯卡,45.7784134793,4249374
暗夜魔王,49.8216883882,1973231
育母蜘蛛,39.4651408435,901284
赏金猎人,45.8355004846,4987346
编织者,49.1053875626,3761070
杰奇洛,53.1196517222,1977272
蝙蝠骑士,45.118972282,1264160
陈,42.2943398248,373310
幽鬼,54.8642953102,3502974
远古冰魄,50.4534945248,2092087
末日使者,43.4309348245,1301517
熊战士,54.1392795275,4988199
裂魂人,52.4346552312,5479092
矮人直升机,44.5894272244,1495350
炼金术士,49.1580307437,4889846
祈求者,46.7865355699,10076119
沉默术士,53.686191793,3765268
殁境神蚀者,49.7035190556,4122356
狼人,46.1744107485,1064189
酒仙,47.4808960878,765550
暗影恶魔,46.3035516442,1370126
德鲁伊,39.5742984716,732579
混沌骑士,50.0931541055,2172207
米波,47.5969016228,2068954
树精卫士,53.6218301555,1429802
食人魔魔法师,54.5413448343,4663013
不朽尸王,50.7080015604,1671324
拉比克,46.2264776212,3862492
干扰者,50.9828348192,2290975
司夜刺客,50.0371632972,3559964
娜迦海妖,46.0460419956,1062682
光之守卫,50.1563415855,1866426
艾欧,37.9731280973,642902
维萨吉,44.8127689767,452409
斯拉克,51.1101563997,10129879
美杜莎,51.6212079616,2914000
巨魔战将,49.4753788585,3217560
半人马战行者,55.2668399275,2547220
马格纳斯,47.4852966328,3169002
伐木机,49.1651967608,5003155
钢背兽,48.5401153102,3593092
巨牙海民,42.1296657301,1590212
天怒法师,46.7888574031,2069715
亚巴顿,55.5904001684,2090870
上古巨神,53.955328263,1143900
军团指挥官,49.0477227773,10751386
工程师,46.406751225,1666542
灰烬之灵,41.8274456522,2399360
大地之灵,42.2279320802,839873
孽主,54.2602907407,1686176
恐怖利刃,49.0868366644,1567080
凤凰,51.1489043721,1445290
神谕者,42.6339859813,1014789
寒冬飞龙,46.2382942935,1360234
天穹守望者,43.2349178889,927158
