英雄,胜率,使用频率
敌法师,47.259487075,7364625
斧王,52.4500756898,7920490
祸乱之源,45.7169794533,1753272
嗜血狂魔,50.3675130015,6760169
水晶室女,55.1345329419,4686473
卓尔游侠,50.4845130822,7439634
撼地者,49.8910773713,4165342
主宰,50.0228769882,9520484
米拉娜,51.8506408714,7780656
变体精灵,47.5629091431,4028389
影魔,47.7314899622,4465442
幻影长矛手,45.4301409341,2542748
帕克,44.0576457255,1889958
帕吉,52.9023357185,13991369
剃刀,45.3789727259,2450018
沙王,49.5268465805,4601573
风暴之灵,49.2524431011,5009719
斯温,54.5364261237,7282054
小小,45.0009074782,3146081
复仇之魂,52.1898716022,2844596
风行者,45.1731571717,4514338
宙斯,54.3701495849,4182374
昆卡,47.4135743054,4534965
莉娜,44.3302173129,3092085
莱恩,47.7787207948,5061768
暗影萨满,52.6661487822,2963338
斯拉达,51.3243876022,4598767
潮汐猎人,50.3776729997,2394267
巫医,49.8956937602,2969621
巫妖,54.6435401006,2433219
力丸,54.2002283579,7899880
谜团,51.850099289,1967489
修补匠,47.5419465504,4756589
狙击手,51.7808229103,9937681
瘟疫法师,54.6789833229,4484767
术士,55.5754544564,1961024
兽王,46.4236713821,769672
痛苦女王,42.1622297008,2312992
剧毒术士,51.4975395912,2312827
虚空假面,47.091806966,5011428
冥魂大帝,55.8932773235,5679955
死亡先知,46.8761044462,1796715
幻影刺客,52.1200598257,13975266
帕格纳,46.4778058371,1580776
圣堂刺客,45.336265454,2231377
冥界亚龙,48.8851278294,3038151
露娜,54.7634040909,4362269
龙骑士,49.3725307295,2212698
戴泽,51.7254260346,2452148
发条技师,50.6032902688,1883919
拉席克,45.6352077926,809798
先知,41.0640205283,2916955
噬魂鬼,49.0600410319,4868404
黑暗贤者,49.5090134372,1289852
克林克兹,45.7016230089,3287043
全能骑士,59.7897506866,4403534
魅惑魔女,39.9666963894,1226894
哈斯卡,45.9874765602,4234779
暗夜魔王,49.9298325275,1968861
育母蜘蛛,39.5472434513,887541
赏金猎人,45.8342399591,5128908
编织者,49.176235406,3528678
杰奇洛,53.2294520933,1867453
蝙蝠骑士,44.901093763,1193403
陈,41.8843006712,367245
幽鬼,54.9980019986,3568566
远古冰魄,50.389084398,2034006
末日使者,43.4609991161,1288599
熊战士,54.3274204022,4903152
裂魂人,52.5099491833,5248672
矮人直升机,44.5576231559,1462780
炼金术士,48.9841714402,4447404
祈求者,46.8285284725,9416922
沉默术士,53.682642262,3597675
殁境神蚀者,49.6124111435,3855374
狼人,46.2762754851,1024767
酒仙,47.5239223843,744282
暗影恶魔,45.7731012554,1342308
德鲁伊,39.7952007202,710940
混沌骑士,50.2328818434,2143791
米波,47.6120804993,1997136
树精卫士,53.578905477,1369455
食人魔魔法师,54.3973920846,4126821
不朽尸王,50.756025128,1597103
拉比克,46.1363732315,3600296
干扰者,51.016751508,2194489
司夜刺客,50.0331271797,3454867
娜迦海妖,46.1177176367,1023483
光之守卫,50.1982064444,1892219
艾欧,37.2620954378,612483
维萨吉,44.5511813176,439086
斯拉克,51.0736080711,9658180
美杜莎,51.734238915,2843697
巨魔战将,49.5214190867,3073357
半人马战行者,55.3026994404,2530117
马格纳斯,47.033194277,2650005
伐木机,48.9143882871,4809961
钢背兽,48.6024266775,3541138
巨牙海民,42.0692298738,1554849
天怒法师,46.6917761017,2030047
亚巴顿,56.0025296675,2283304
上古巨神,54.1737805061,1168497
军团指挥官,49.0712974314,10333556
工程师,46.14512276,1622516
灰烬之灵,41.6777520189,2258987
大地之灵,42.0635184918,810819
孽主,54.1204412131,1724609
恐怖利刃,49.0313285006,1512329
凤凰,51.3054555253,1428735
神谕者,42.4571961582,1058141
寒冬飞龙,46.1013517037,1284971
天穹守望者,42.9324254793,892067
