英雄,胜率,使用频率
敌法师,47.1845963532,8748266
斧王,52.4864217147,9395148
祸乱之源,45.7475452533,2124761
嗜血狂魔,50.4496404041,7727286
水晶室女,55.1496704478,5523101
卓尔游侠,50.9457689728,8992048
撼地者,49.942068469,5011088
主宰,49.9832486603,11058817
米拉娜,51.87716225,9181119
变体精灵,47.8877582245,5130710
影魔,47.7031110699,5090146
幻影长矛手,45.5028285069,3041534
帕克,44.0055588453,2288245
帕吉,52.8279558418,16080732
剃刀,45.49104057,2896278
沙王,49.4836024465,5204130
风暴之灵,49.1848043832,5765610
斯温,54.586759413,8420095
小小,45.0164590186,3714377
复仇之魂,52.2806317057,3401141
风行者,45.1515123877,5372531
宙斯,54.4735344394,5016425
昆卡,47.7289155153,5601619
莉娜,44.3000986558,3695678
莱恩,47.8025994013,6060934
暗影萨满,52.6836096049,3522923
斯拉达,51.2532929225,5221046
潮汐猎人,50.3236023984,2835733
巫医,49.917707135,3564100
巫妖,54.6391789839,2766718
力丸,54.2504311193,9504330
谜团,51.9084074214,2259135
修补匠,47.535241623,5660636
狙击手,51.643156195,11487009
瘟疫法师,54.7634997821,5329086
术士,55.5192936284,2155919
兽王,46.4383129819,913612
痛苦女王,42.1345176809,2785894
剧毒术士,51.4702446791,2645342
虚空假面,47.2621097643,6063227
冥魂大帝,55.8768123779,6546372
死亡先知,46.7655771447,2070694
幻影刺客,52.2619379896,16896396
帕格纳,46.3700570115,1812618
圣堂刺客,45.236342426,2544211
冥界亚龙,48.903564535,3594466
露娜,54.7805341725,4966673
龙骑士,49.3729425528,2572970
戴泽,51.7566134567,3034646
发条技师,50.4555401298,2150085
拉席克,45.6492015393,953710
先知,41.1409000879,3429643
噬魂鬼,48.9012325296,5505669
黑暗贤者,49.4238806955,1485543
克林克兹,45.6351491103,3808893
全能骑士,60.0383412584,5465131
魅惑魔女,39.8564704332,1456564
哈斯卡,46.0983489642,5131930
暗夜魔王,49.9139875218,2403721
育母蜘蛛,39.562707811,1044519
赏金猎人,45.9627892714,6150323
编织者,49.1559938543,4104354
杰奇洛,53.2817271036,2111373
蝙蝠骑士,44.88542026,1365381
陈,41.8395995392,434899
幽鬼,54.994389255,4115318
远古冰魄,50.3678251898,2456058
末日使者,43.4204664897,1542199
熊战士,54.442160847,5675256
裂魂人,52.5347610317,6058796
矮人直升机,44.5484937116,1735823
炼金术士,48.8704936195,5133083
祈求者,46.7178743785,10822849
沉默术士,53.6413271408,4120256
殁境神蚀者,49.8302939244,4496598
狼人,46.3132856241,1225061
酒仙,47.4848684272,863096
暗影恶魔,45.7667693254,1665064
德鲁伊,39.840210241,843984
混沌骑士,50.3017898169,2533220
米波,47.607622778,2302835
树精卫士,53.4769610587,1586184
食人魔魔法师,54.269881122,4642155
不朽尸王,50.6455997832,1852386
拉比克,46.061187275,4095917
干扰者,50.964684263,2546740
司夜刺客,50.0182833507,4069276
娜迦海妖,46.0738634105,1207472
光之守卫,50.1339401533,2308867
艾欧,36.9549954509,722127
维萨吉,44.2928205855,515237
斯拉克,50.9473484448,11318697
美杜莎,51.7099292693,3366572
巨魔战将,49.6039667195,3569902
半人马战行者,55.3052876461,2941914
马格纳斯,46.7920463546,2917857
伐木机,48.8014815136,5622358
钢背兽,48.588011464,4193306
巨牙海民,42.0177427849,1828687
天怒法师,46.6403148881,2400091
亚巴顿,55.9158453214,2616135
上古巨神,54.31951458,1444028
军团指挥官,49.0406140808,12132344
工程师,45.8921920677,1932381
灰烬之灵,41.5700885746,2564505
大地之灵,41.891926108,947870
孽主,54.3593341705,2176353
恐怖利刃,49.0524388096,1805266
凤凰,51.3096304153,1700747
神谕者,42.5439124376,1379222
寒冬飞龙,46.0254317784,1494980
天穹守望者,43.1116535163,1060298
